id,person
1015,helena gil
1022,gavi
1023,gavi
1024,gavi
1025,gavi
1028,os: agustín argüe
1028, el xeneral r
1029,os: agustín argüe
1029, el xeneral r
1032,gavi
1032,ceballos
1032,valverde
1033,gavi
1033,ceballos
1033,valverde
1050,césar casado
1051,césar casado
1066,courtois
1066,cholo
1067,carlos herrera
1067,franquista
1067,àngels barceló
1074,onís
1075,leonor
1075,onís
1075,reyes
1077,frédéric porta
1077,segurola
1084,jesús
1085,javier sebastián
1088,franco
1089,barbón
1089,bachiller
1089,villa
1095,sidra
1097,lara álvarez
1101,lara álvarez
1101,meresbala
1107,rosa
1110,amo
1110,florentino
1117,coronel baños
1122,juan manuel posada
1127,emilio curieses
1144,lechera
1152,diego canga
1170,ennio morricone
1172,a cristina menénd
1172, #endu
1181,laura prieto
1181,ana barthe
1191,marco veiga
1191,ana cristina mené
1200,josé carreras
1202,gonzalez alvarez
1204,penaldo
1205,tony montana
1209,belarra
1213,ricardo montes
1213,sergio tomé
1217,emilio
1217,eloy
1217,era
1217,plumilla
1224,manzanillo
1233,josep guardiola
1234,helena gil
1240,llingua asturiana
1250,siero
1250,siero
1251,fernández
1251,natalia
1262,floren
1264,marino pérez
1267,taramundi
1272,menéndez
1280,garzon
1282,gustavo bueno
1298,xixonomía
1302,ángel busto
1305,xixonomía
1309,mar villanueva
1310,nuria rodríguez
1312,juanjo cima
1316,paulaechevarria
1316,paulaechevarria
1327,guarro
1335,manuel fernández de castro
1335,luis traviesas
1338,carmen lópez
1340,cidra asturiana
1344,satse
1345,rita la cantaora
1346,rambal
1347,rambal
1347,rambal
1349,simpa
1349,satse
1350,fernando padilla
1351,javi
1352,foro
1354,maría covadonga
1361,ripa
1361,podemos
1361,palacios
1362,barbón
1366,simpa
1366,satse
1370,jordi évole
1370,rodrigo cuevas
1371,llanes
1375,bilis
1376,sant jordi
1378,loderodrigocuevas
1382,constantino suárez
1397,rodrigo cuevas
1403,rodrigo cuevas
1404,rodrigo cuevas
1409,cristóbal halffter
1409,johannes brahms
1410,zidane
1412,sanz
1415,llanes
1418,isabel santos
1424,nuria rodríguez
1426,josé ramón garcía
1426,laura mota
1427,fede
1427,baena
1427,baena
1427,haníbal lecter
1427,"fede gandhi 

xavi"
1427,ancelotti
1433,polaco
1434,taylor
1434,alonso
1435,paula sánchez sevillano
1438,mateu lahoz
1441,jordi évole
1441,rodrigo cuevas
1447,taylonso
1447,harry styles
1447,letizia
1448,jordi évole
1448,rodrigo cuevas
1451,natasha lee
1453,sergio ramos
1455,salas
1456,jordi évole
1456,rodrigo cuevas
1460,mayra fernández
1462,fernando alonso
1462,taylor swift
1469,jordi évole
1469,rodrigo cuevas
1473,jordi évole
1473,rodrigo cuevas
1475,jordi évole
1475,rodrigo cuevas
1476,siero
1476,orfelina suárez
