id,emoji,description,ocurrences
1,😍,smiling face with heart-eyes,2
4,🤤,drooling face,1
6,😭,loudly crying face,4
9,🥺,pleading face,1
11,🥺,pleading face,5
19,🤤,drooling face,1
19,😚,kissing face with closed eyes,1
26,🤗,hugging face,1
32,😻,smiling cat with heart-eyes,3
34,☹️,frowning face,1
36,😩,weary face,1
41,😋,face savoring food,1
43,👠,high-heeled shoe,1
43,🐰,rabbit face,1
43,🥛,glass of milk,3
43,🍼,baby bottle,1
44,🦦,otter,1
46,🥚,egg,1
48,😩,weary face,1
50,🤤,drooling face,1
51,😋,face savoring food,1
55,🤦‍♂️,man facepalming,1
58,😍,smiling face with heart-eyes,1
63,🤯,exploding head,9
65,🔁,repeat button,1
75,😜,winking face with tongue,3
77,😍,smiling face with heart-eyes,1
77,🥴,woozy face,1
77,💦,sweat droplets,2
78,😋,face savoring food,1
79,😍,smiling face with heart-eyes,1
79,🤤,drooling face,1
80,⚽,soccer ball,1
80,🎾,tennis,1
80,🏀,basketball,1
82,💦,sweat droplets,2
82,🔥,fire,3
85,🗞,rolled-up newspaper,1
90,🤤,drooling face,1
90,💦,sweat droplets,1
92,😋,face savoring food,1
93,😍,smiling face with heart-eyes,1
93,🥥,coconut,1
97,😋,face savoring food,1
98,🔁,repeat button,1
99,😒,unamused face,1
99,🇹🇷,flag: Turkey,1
99,🙂,slightly smiling face,1
100,♠️,spade suit,1
100,❤️,red heart,1
101,🏆,trophy,2
102,👀,eyes,1
102,💦,sweat droplets,6
102,🔥,fire,1
103,🌡️,thermometer,2
103,🍑,peach,2
103,💦,sweat droplets,2
103,🔥,fire,3
104,💥,collision,1
104,🥺,pleading face,1
104,👉🏻,backhand index pointing right: light skin tone,1
104,👈🏻,backhand index pointing left: light skin tone,1
104,🗣️,speaking head,6
105,🥛,glass of milk,1
106,🥵,hot face,3
107,🍒,cherries,1
107,🖤,black heart,1
108,😅,grinning face with sweat,1
108,🤭,face with hand over mouth,1
113,🏻,light skin tone,4
114,😈,smiling face with horns,1
114,🤤,drooling face,1
114,🔞,no one under eighteen,1
119,😂,face with tears of joy,4
121,😂,face with tears of joy,1
121,😻,smiling cat with heart-eyes,1
129,🤌,pinched fingers,5
135,🙄,face with rolling eyes,2
138,😏,smirking face,2
138,💦,sweat droplets,1
143,🤦‍♂️,man facepalming,1
147,🐩,poodle,2
147,🥛,glass of milk,1
147,🍼,baby bottle,1
152,❤️,red heart,1
152,😋,face savoring food,1
162,🙄,face with rolling eyes,1
172,💠,diamond with a dot,1
173,🥵,hot face,1
173,🔥,fire,1
177,🤎,brown heart,1
182,🥴,woozy face,1
184,💫,dizzy,1
186,😋,face savoring food,1
189,👇,backhand index pointing down,2
189,🍆,eggplant,1
189,💦,sweat droplets,2
190,😏,smirking face,1
190,😈,smiling face with horns,1
190,😋,face savoring food,1
194,🥥,coconut,1
194,🌊,water wave,1
194,💜,purple heart,1
194,🥫,canned food,1
194,🌴,palm tree,1
197,🤐,zipper-mouth face,1
198,🥴,woozy face,1
202,😋,face savoring food,1
204,🤢,nauseated face,1
207,ℹ️,information,1
207,🔴,red circle,1
207,💪,flexed biceps,1
214,🤡,clown face,2
216,🍼,baby bottle,2
219,🥵,hot face,1
220,😈,smiling face with horns,4
220,🔥,fire,4
220,📽,film projector,3
223,🚀,rocket,1
223,‼,double exclamation mark,1
224,💠,diamond with a dot,1
225,👌🏻,OK hand: light skin tone,1
225,😩,weary face,1
233,😅,grinning face with sweat,1
233,🙌🏽,raising hands: medium skin tone,1
234,🤭,face with hand over mouth,1
238,💫,dizzy,1
238,🥰,smiling face with hearts,1
239,🥰,smiling face with hearts,1
239,🥺,pleading face,1
246,😩,weary face,1
247,😈,smiling face with horns,1
247,🤤,drooling face,1
248,😩,weary face,1
253,🥵,hot face,1
253,🔥,fire,1
253,🍆,eggplant,1
253,💦,sweat droplets,1
260,😈,smiling face with horns,1
260,🔥,fire,1
260,🤭,face with hand over mouth,1
267,🐄,cow,1
267,🐕,dog,1
268,🙏🏻,folded hands: light skin tone,1
268,🙌🏻,raising hands: light skin tone,1
277,😍,smiling face with heart-eyes,2
279,🤤,drooling face,1
279,🏽,medium skin tone,1
280,👀,eyes,1
280,👌🏼,OK hand: medium-light skin tone,1
284,🙄,face with rolling eyes,1
286,🥰,smiling face with hearts,1
288,❤,red heart,1
288,😂,face with tears of joy,1
288,🙄,face with rolling eyes,1
295,💅🏼,nail polish: medium-light skin tone,1
298,❤️,red heart,1
300,🥴,woozy face,1
302,😈,smiling face with horns,1
305,🍆,eggplant,1
305,🔥,fire,1
307,🤣,rolling on the floor laughing,1
