id,emoji,description,ocurrences
3,👏,clapping hands,1
7,💩,pile of poo,1
18,🐀,rat,1
19,🐀,rat,1
24,😂,face with tears of joy,4
25,😂,face with tears of joy,4
32,🐀,rat,2
34,🐀,rat,1
34,🤡,clown face,1
35,🤣,rolling on the floor laughing,3
36,😂,face with tears of joy,4
36,🐀,rat,1
36,🤡,clown face,3
39,🤮,face vomiting,3
47,🐀,rat,3
53,💩,pile of poo,1
53,✍️,writing hand,1
56,🤥,lying face,1
56,💰,money bag,1
56,🤦‍♂️,man facepalming,1
68,🐀,rat,1
69,🐀,rat,1
74,😂,face with tears of joy,4
75,😂,face with tears of joy,4
83,😂,face with tears of joy,5
87,🐀,rat,4
88,😂,face with tears of joy,1
88,🐀,rat,5
97,🤣,rolling on the floor laughing,1
104,📌,pushpin,1
118,🐀,rat,1
118,🤡,clown face,1
127,😂,face with tears of joy,4
130,🏃‍♀,woman running,2
131,😜,winking face with tongue,3
132,🥛,glass of milk,1
136,😎,smiling face with sunglasses,2
136,😡,pouting face,2
136,✅,check mark button,2
136,❌,cross mark,2
138,🥛,glass of milk,1
158,➡️,right arrow,1
167,👇,backhand index pointing down,1
172,👀,eyes,1
172,📢,loudspeaker,1
172,👉,backhand index pointing right,1
187,💦,sweat droplets,2
189,➡,right arrow,1
193,😜,winking face with tongue,3
193,😳,flushed face,3
204,😂,face with tears of joy,3
213,➡️,right arrow,1
213,💥,collision,1
213,✅,check mark button,1
213,🔹,small blue diamond,1
225,😂,face with tears of joy,1
225,😭,loudly crying face,5
227,➡️,right arrow,1
227,💥,collision,2
229,😭,loudly crying face,1
231,📣,megaphone,1
233,📢,loudspeaker,1
239,🔥,fire,1
241,🍼,baby bottle,1
241,📻,radio,1
246,🤚🏼,raised back of hand: medium-light skin tone,1
247,🥚,egg,2
254,🏃‍♀️,woman running,2
257,☀️,sun,1
262,🙄,face with rolling eyes,1
262,🤦‍♂️,man facepalming,1
262,😝,squinting face with tongue,4
262,😳,flushed face,2
264,💅,nail polish,1
265,😂,face with tears of joy,4
266,🎀,ribbon,1
266,🏃‍♀️,woman running,1
275,💞,revolving hearts,1
276,💥,collision,1
276,👇,backhand index pointing down,1
282,😲,astonished face,1
282,🧈,butter,1
282,🤬,face with symbols on mouth,1
297,🔴,red circle,4
297,🔵,blue circle,4
301,😒,unamused face,1
309,❗,red exclamation mark,1
309,📍,round pushpin,1
309,📅,calendar,1
309,⏰,alarm clock,1
313,👂,ear,1
319,📣,megaphone,1
322,🦇,bat,1
322,🧡,orange heart,1
322,🤔,thinking face,1
322,🔝,TOP arrow,1
325,🤣,rolling on the floor laughing,6
326,🤣,rolling on the floor laughing,10
327,😝,squinting face with tongue,1
327,💙,blue heart,3
332,🤣,rolling on the floor laughing,6
336,🤣,rolling on the floor laughing,5
341,🤣,rolling on the floor laughing,2
344,📣,megaphone,1
348,🍼,baby bottle,2
350,🚬,cigarette,2
351,📲,mobile phone with arrow,1
351,📣,megaphone,1
358,🤣,rolling on the floor laughing,3
359,😍,smiling face with heart-eyes,2
360,😂,face with tears of joy,4
366,🌸,cherry blossom,1
373,😁,beaming face with smiling eyes,5
381,⚫,black circle,1
381,⚪,white circle,1
381,🟠,orange circle,1
381,🦇,bat,1
381,😜,winking face with tongue,1
382,🎯,bullseye,1
387,🤣,rolling on the floor laughing,1
388,🤣,rolling on the floor laughing,3
398,👏,clapping hands,1
401,👏,clapping hands,1
403,📷,camera,1
403,⬇️,down arrow,1
420,😠,angry face,1
420,⚖️,balance scale,1
420,😘,face blowing a kiss,1
420,🗣️,speaking head,1
427,🐀,rat,1
427,🤡,clown face,1
429,🤮,face vomiting,6
442,😂,face with tears of joy,7
443,🤦‍♂️,man facepalming,1
444,📌,pushpin,1
444,🚨,police car light,1
454,🥛,glass of milk,1
462,😡,pouting face,1
462,😏,smirking face,1
463,🥰,smiling face with hearts,3
478,😂,face with tears of joy,4
486,🔴,red circle,1
486,💪,flexed biceps,1
486,ℹ️,information,1
487,🔴,red circle,1
487,💪,flexed biceps,1
487,ℹ️,information,1
491,👕,t-shirt,1
491,📢,loudspeaker,1
491,⏰,alarm clock,1
494,😂,face with tears of joy,8
507,♨️,hot springs,4
522,😂,face with tears of joy,7
527,😂,face with tears of joy,3
530,😂,face with tears of joy,1
545,👇,backhand index pointing down,1
547,👎,thumbs down,1
562,💩,pile of poo,5
566,🖕,middle finger,4
591,👉🏻,backhand index pointing right: light skin tone,2
600,❤️,red heart,1
600,💙,blue heart,1
606,😂,face with tears of joy,3
606,👇,backhand index pointing down,1
610,😍,smiling face with heart-eyes,1
622,📸,camera with flash,2
672,😋,face savoring food,1
672,🙌,raising hands,1
672,💪,flexed biceps,1
672,🥤,cup with straw,1
672,😜,winking face with tongue,1
672,🤭,face with hand over mouth,1
672,🥛,glass of milk,1
672,🦴,bone,1
673,👇,backhand index pointing down,1
675,😊,smiling face with smiling eyes,1
675,🔝,TOP arrow,1
675,🚀,rocket,1
675,♥,heart suit,1
676,💪🏻,flexed biceps: light skin tone,1
676,⭐,star,2
677,📢,loudspeaker,1
677,📅,calendar,1
677,🤔,thinking face,1
677,📋,clipboard,1
677,🥛,glass of milk,3
677,🔝,TOP arrow,1
678,☀,sun,4
678,👇,backhand index pointing down,2
679,🪴,potted plant,1
679,▶️,play button,1
679,🔵,blue circle,5
679,👉,backhand index pointing right,1
680,🥛,glass of milk,1
680,❤️,red heart,1
680,🏡,house with garden,1
680,🥰,smiling face with hearts,1
681,🐾,paw prints,1
681,🌹,rose,1
681,🌼,blossom,2
681,✨,sparkles,1
681,💞,revolving hearts,1
681,🍀,four leaf clover,1
681,❤️,red heart,2
683,👩🏻‍🍳,woman cook: light skin tone,1
683,🐮,cow face,1
688,➡️,right arrow,1
688,💪,flexed biceps,1
690,💖,sparkling heart,1
696,🥛,glass of milk,4
697,🥰,smiling face with hearts,1
697,🏡,house with garden,1
697,🛒,shopping cart,1
697,❤️,red heart,1
697,🥛,glass of milk,1
698,🥰,smiling face with hearts,1
698,🏡,house with garden,1
698,🛒,shopping cart,1
698,❤️,red heart,1
698,🥛,glass of milk,1
699,🥛,glass of milk,1
699,😉,winking face,1
699,💪,flexed biceps,1
699,🥤,cup with straw,1
701,😊,smiling face with smiling eyes,1
701,♥,heart suit,1
701,🔝,TOP arrow,1
701,👇,backhand index pointing down,1
702,📢,loudspeaker,1
702,👇,backhand index pointing down,1
702,♥,heart suit,1
702,😊,smiling face with smiling eyes,1
702,🔝,TOP arrow,1
704,🍫,chocolate bar,1
704,🚀,rocket,1
704,😎,smiling face with sunglasses,1
704,🥰,smiling face with hearts,1
704,🙏🏽,folded hands: medium skin tone,1
704,🥳,partying face,1
706,🐷,pig face,1
707,🐷,pig face,1
708,🐷,pig face,1
709,🐷,pig face,1
711,➡️,right arrow,4
711,😏,smirking face,1
711,👉,backhand index pointing right,1
711,🙄,face with rolling eyes,1
711,🌾,sheaf of rice,1
711,😮,face with open mouth,1
