Topic,Words,Frequency,Timestamp
-1,"clarachia, shakirabzrpmusicsessionsvol53, tiraera, anuelaa, yailinlamasviral",2,2023-02-26
-1,"shakira, touches, aesthetic, 1yrzwhdxok, lad35bwocy",4,2023-02-27
-1,"jeeta, pedrerol, barsa, darío, et",1,2023-03-02
0,"negreiragate, barcagate, themselves, stoking, obsessive",1,2023-03-02
2,"negreira, month, 000, 20, pudding",1,2023-03-02
6,"hotelier, kangaroo, fetuses, laporta, owed",1,2023-03-05
-1,"elchiringuitodemega, chiringuitobarcelona, culé, christmas, negreira",1,2023-03-07
0,"negreira, odgzhmvm7z, blinds, retires, prosecutor",1,2023-03-08
0,"8l5owe6c8z, rossel, bartomeu, laporte, denounced",1,2023-03-10
6,"ezocl0wxuz, extremist, malicious, nou, camp",1,2023-03-11
-1,"casemiro, negreira, premier, path, kicked",1,2023-03-12
9,"ha, laligasantander, mamés, shivering, negreira",1,2023-03-12
6,"negreira, veña, tricking, sewers, dreaded",2,2023-03-13
9,"txapotista, felon, barsa, communism, survive",1,2023-03-13
6,"negreira, 0kvflxhxgj, dialectics, confidencial, jlwu1jfs9c",2,2023-03-14
6,"fc, headline, barcelona, asaltan, asalta",1,2023-03-15
0,"a12, forecast, negreira, entire, farm",1,2023-03-19
6,"barça, som, rztwhz8uwt, merengue, florentino",1,2023-03-19
-1,"milk, and, https, co, with",1143,2023-04-04
0,"price, of, the, dairy, in",83,2023-04-04
1,"coffee, with, milk, sugar, drink",81,2023-04-04
2,"pudding, rice, mom, make, grandmother",65,2023-04-04
3,"healthy, lifestyle, eating, health, life",43,2023-04-04
4,"bad, what, people, milk, have",34,2023-04-04
5,"hit, car, crashed, had, head",38,2023-04-04
6,"osasuna, mamés, chelsea, soccer, bad",19,2023-04-04
7,"latte, matcha, cold, croissants, fanta",31,2023-04-04
8,"donation, breast, 7yknxxugvy, muihacm99k, hwfxakyneh",5,2023-04-04
9,"asturian, enrollment, launches, languages, asturias",22,2023-04-04
10,"penalty, beaten, cristiano, kick, by",18,2023-04-04
11,"putas, 100, ll, yes, cumtribute",13,2023-04-04
12,"beat, nothing, up, beats, gets",24,2023-04-04
13,"lactose, free, intolerant, light, ordered",24,2023-04-04
14,"chocolate, vanilla, fresh, dark, white",18,2023-04-04
15,"cereal, cereals, first, before, then",18,2023-04-04
16,"almond, milk, assk, 2kx800vnvv, umns8fqkos",21,2023-04-04
17,"cock, dick, hard, my, want",22,2023-04-04
18,"video, videos, rt, pumping, ass",13,2023-04-04
19,"pump, pumping, pcgnt6mgwf, cristianking971, uimjoq9esj",14,2023-04-04
20,"milkshake, egpeibtalk, lnuxyb2its, ivieyubi2e, 1wicn9lkhp",10,2023-04-04
21,"people, bad, are, mi, comments",16,2023-04-04
22,"k4zxlch2se, x0pykp3deb, vlikcy3ko4, jglljs67rg, iozhmayvj8",5,2023-04-04
23,"condensed, strawberries, slushies, seasoning, jurasic",21,2023-04-04
24,"wants, 0yyaeynfdn, cgiroftama, qefoosalk9, 9xwggvh1oh",10,2023-04-04
27,"physical, change, rotation, escamoso, ventino",9,2023-04-04
28,"shake, protein, peanut, workout, muscle",13,2023-04-04
29,"sinleche, veganfta, cow, vaquitas, cows",5,2023-04-04
30,"dulce, de, leche, luases, gondor",12,2023-04-04
31,"painted, as, cow, bad, is",8,2023-04-04
32,"baby, breastfeeding, breast, mom, rulo",12,2023-04-04
33,"mala, leche, o0zhp4hn1s, zs3ghylotp, altieri",9,2023-04-04
34,"ass, 5sfi4gdto6, cxramy9pqg, tayl, bwr1gpywgv",8,2023-04-04
35,"brother, sisters, sister, bezos, bookdepo",6,2023-04-04
36,"leche, xbgek6gnob, tren, akqzgdjy5m, hjkffrdnm9",6,2023-04-04
37,"b64pxwvlnn, spdkibkiue, yxznf2lih7, dawn, wanting",2,2023-04-04
38,"ice, cream, dulce, de, leche",8,2023-04-04
39,"gdhgzvo02s, fua, dulce, de, leche",1,2023-04-04
40,"moisturizing, payroll, hair, chocolate, amazon",9,2023-04-04
41,"physical, change, vl6u6d4hqn, xdlekl8tv3, schnlcorwr",14,2023-04-04
42,"record, tmxmhk9s99, 900m, bmsrbptgnu, fanbase",4,2023-04-04
43,"rich, ass, open, how, yjpunphzzf",9,2023-04-04
44,"cake, cakes, fried, dulce, de",13,2023-04-04
45,"café, con, 1hgapfyi1u, fernandaklle, marianabeli1",4,2023-04-04
46,"face, 7emd5qobg5, q1ddj66pem, g3t4tgva1v, 9dcmkhs3w1",8,2023-04-04
47,"xlah1zitv0, yrlwoxhslm, poot, xwfty3cmvi, fill",3,2023-04-04
48,"powdered, klim, lafauriecabal, hocvzpjxdp, acq8khn7uz",12,2023-04-04
49,"telegram, jxab0ihyhj, privately, group, horny",8,2023-04-04
50,"oatmeal, oat, yum, wrsduvydws, n9tzwbaoff",5,2023-04-04
51,"he, his, smiling, him, returning",7,2023-04-04
52,"00ie8wzkka, x51fnxaxhb, 8h7sdtzjow, vill, ugkommrjhj",12,2023-04-04
53,"mpxyboku12, lxaytadqzj, cv5xkfjeyr, udcsajtjth, 9f2cmkk9qd",5,2023-04-04
54,"hooker, hookers, vyvjfwbame, papuda, hyr2c7o512",8,2023-04-04
55,"tea, 8xznmlkxg1, asqs3iwgwy, lanita, qyl4otkc7h",13,2023-04-04
56,"pancakes, dulce, de, leche, make",16,2023-04-04
57,"paddling, paddle, dulce, lavidasigue, luchaportimismo",4,2023-04-04
58,"kitten, qn6cwzbu6s, nq2vl379pg, fow22cwxd0, cat",4,2023-04-04
59,"tank, tanks, water, teuhqdwnkc, yapatjrhad",6,2023-04-04
62,"birthday, lots, your, lot, on",12,2023-04-04
63,"white, whiter, brown, portal80morbo, oi7lsg3zuo",7,2023-04-04
64,"obfljehdua, nxcroe8jdh, acapulquito, kia2xolzav, morning",3,2023-04-04
65,"teeth, baby, tooth, moves, xrnoh14n3m",9,2023-04-04
66,"tits, nkd4iku07d, mdsk9bvvo8, bijl6x5c1i, y76zw6vaqo",7,2023-04-04
67,"smoothie, z9tdeqquzq, ff3ehahvqe, adversely, apr",4,2023-04-04
68,"strawberry, eegzddvb6y, juice, lulo, aaa",4,2023-04-04
69,"jar, dulce, de, hours, leche",4,2023-04-04
70,"mood, today, bad, in, what",1,2023-04-04
71,"cookies, costco, solve, problems, afternoon",3,2023-04-04
72,"arroz, con, leche, jxpaptve3e, elchecf",7,2023-04-04
73,"rvibbwtka9, nutritional, labeling, labels, label",1,2023-04-04
74,"coconut, coco, rundjb3abz, dxbp0uxkkb, rlbblpeofo",14,2023-04-04
75,"cod, tomato, salad, spinach, cranberry",5,2023-04-04
76,"croissants, coffee, zarhrfwrli, uvicksjped, 850",7,2023-04-04
77,"mu5k, hmgh9qp0pc, migrate, disproportionate, loading",2,2023-04-04
78,"swallow, ttgnnzmrcv, uhvf1eozxw, ceos, messing",3,2023-04-04
79,"daddy, gray, ly4cyjrjfj, choribola, otlm5frue6",7,2023-04-04
80,"bathe, bath, bathed, 7ww9qwnosq, vg4x2u78iz",6,2023-04-04
81,"oreo, oreos, yspfn9aeqj, jo0rycmtux, 6fkritcpep",6,2023-04-04
82,"aaaaaah, clogging, argentinian, dulce, boarding",3,2023-04-04
83,"churros, matesss, dulce, churro, de",5,2023-04-04
84,"8h, ovqghqh60a, 390, quesillo, measured",3,2023-04-04
85,"jsjsjs, jqkdjskska, pmctcaizrr, xglf0edlsl, kjajkjkaja",6,2023-04-04
86,"strawberry, milkshake, 9xlhws4mgw, cherry, giant",3,2023-04-04
87,"breakfast, 8em8vyiktg, zi5gdouwei, twbsmswxn7, qxwy3nf1o5",4,2023-04-04
89,"smell, smells, diaxrje2jm, statues, ono",3,2023-04-04
90,"u4m6m8cd4u, curvy, rt, enduring, radargaymx",1,2023-04-04
91,"sirens, melanie, drink, portals, leche",33,2023-04-04
92,"soy, oriental, overrated, self, control",3,2023-04-04
93,"autent, ruiz, javier, delicious, hblvotpakv",4,2023-04-04
94,"eulcqxsozw, bb, moans, tasty, love",1,2023-04-04
95,"colostrum, cheese, os8vtkvdpy, eddijlhuaq, profuccion",2,2023-04-04
96,"pills, cups, three, warm, night",1,2023-04-04
97,"bread, clycplgjid, fy5andhisf, k7wjvylcqb, mpfv",5,2023-04-04
98,"p9fjy88bck, rubs, asset, inside, bareback",1,2023-04-04
99,"yogurt, greek, og, absurdly, unicorn",2,2023-04-04
100,"butter, bread, dulce, toast, toxic",3,2023-04-04
101,"marcos, romina, julieta, croti, poggi",15,2023-04-04
102,"mccartney, ubbben42gj, cold, abbey, studios",2,2023-04-04
104,"meeeeee, genetics, resist, hp, die",1,2023-04-04
105,"her, stroked, his, he, pironq3rod",6,2023-04-04
106,"spilled, crying, over, cry, sounding",3,2023-04-04
107,"drink, 09ikmxdzy3, lgbngvxxhi, putaaaaa, bocho",3,2023-04-04
108,"eobdjwn1jq, rico, position, blow, ll",1,2023-04-04
110,"bulbs, sneezed, sprinkling, flyer, sardine",3,2023-04-04
111,"licks, lick, iuph0ce85m, cii2twk7jg, clotilde",3,2023-04-04
112,"mixer, ld7o3fm489, fsdm1w7g3s, capuchi, nt8ufitgw2",1,2023-04-04
113,"hot, kbnylhkrzr, hzingxftap, mhrnnjjl39, ylgas7mlgj",7,2023-04-04
114,"dutfs0kw8z, haunting, devoid, disfigured, drew",1,2023-04-04
115,"peanut, butter, mix, delicious, dulce",1,2023-04-04
116,"kxpuzrnhdr, lecche, dame, boot, giblets",1,2023-04-04
117,"10bjvsfubx, expired, realizing, drank, week",1,2023-04-04
118,"tiger, ba0bv5oixj, kircepa9ot, tok, tik",4,2023-04-04
119,"cuckold, wife, 6ibjcmmnvm, vk4gbiifyy, 5571456664",5,2023-04-04
120,"açaí, acarajé, whipped, mill, banana",2,2023-04-04
121,"cappuccino, 0kfoelgmsh, frappetito, mocca, skim",3,2023-04-04
123,"joe, poop, bored, getting, am",1,2023-04-04
124,"banana, 04pmkwnkv1, bananas, shoot, bunch",3,2023-04-04
-1,"milk, and, you, to, the",2236,2023-04-05
0,"in, of, the, production, price",175,2023-04-05
1,"coffee, with, toast, milk, breakfast",177,2023-04-05
2,"rice, pudding, mom, made, grandmother",127,2023-04-05
3,"healthy, lifestyle, diet, eating, health",78,2023-04-05
4,"bad, people, what, milk, have",84,2023-04-05
5,"hit, car, crashed, should, had",72,2023-04-05
6,"barça, madrid, bad, they, boca",77,2023-04-05
7,"latte, thought, hurry, sweetener, was",63,2023-04-05
8,"donation, breast, breastfeeding, babies, donating",19,2023-04-05
9,"asturian, asturiana, asturias, the, lechera",35,2023-04-05
10,"penalty, beaten, flamengo, team, brazil",27,2023-04-05
11,"gay, cum, nsfwtwt, hentai, ass",46,2023-04-05
12,"beat, nothing, beats, up, kkkkkk",45,2023-04-05
13,"lactose, free, intolerant, stomach, intolerance",41,2023-04-05
14,"chocolate, fresh, chokis, milk, vanilla",34,2023-04-05
15,"cereal, cereals, first, then, with",32,2023-04-05
16,"almond, soy, milk, drink, superior",31,2023-04-05
17,"cock, dick, suck, onichan, my",32,2023-04-05
18,"video, videos, pumping, full, rt",20,2023-04-05
19,"pump, pumping, pumped, my, need",30,2023-04-05
20,"milkshake, muzzle, chocolate, cakhpubmon, tdxjayyn2l",20,2023-04-05
21,"people, bad, person, are, be",35,2023-04-05
22,"he, him, his, man, milk",28,2023-04-05
23,"condensed, strawberries, wafers, milk, hqgxijzujn",25,2023-04-05
24,"want, wants, give, e3t0pjaayz, ey9lq1dk9f",22,2023-04-05
25,"cockroach, rule, scientists, joking, science",16,2023-04-05
26,"shaken, getting, think, do, you",1,2023-04-05
27,"physical, change, surprising, lily, herrera",9,2023-04-05
28,"shake, protein, toke, pineapple, posh",16,2023-04-05
29,"cow, yak, incorporating, cows, calcium",9,2023-04-05
30,"dulce, de, leche, loving, thank",26,2023-04-05
31,"painted, as, cow, bad, is",16,2023-04-05
32,"father, baby, mother, children, breast",20,2023-04-05
33,"mala, mythomaniac, leche, que, xglacqfwtp",11,2023-04-05
34,"ass, fill, my, want, butt",20,2023-04-05
35,"brothers, sisters, brother, baby, fe",17,2023-04-05
36,"leche, bonbhfrqap, pronounce, breeding, mid",25,2023-04-05
37,"her, she, flx, hedctfoowx, tochswr9c2",17,2023-04-05
38,"ice, cream, dulce, de, leche",20,2023-04-05
39,"dulce, de, bxpwndjegp, jxmdpvu, n2hcfjzcim",3,2023-04-05
40,"kg, vat, unit, 04, 2023",17,2023-04-05
41,"physical, change, gym, mental, proud",25,2023-04-05
42,"record, broken, broke, records, membership",15,2023-04-05
43,"rich, how, ass, his, kb42yx9oxg",11,2023-04-05
44,"cake, dulce, de, leche, cakes",17,2023-04-05
45,"con, café, cafe, leche, diego",15,2023-04-05
46,"face, mouth, caliclandestina, your, fill",17,2023-04-05
47,"fill, wgv2yzodxp, bs8lgef17s, dmkqljj4d8, 4n6kexhhpe",7,2023-04-05
48,"powdered, sugar, powder, wnhp0iypfz, cfmfcek646",13,2023-04-05
49,"telegram, jxab0ihyhj, channel, privately, write",15,2023-04-05
50,"oat, oatmeal, tt, chileee, auxxiliooo",13,2023-04-05
51,"he, him, milkshake, coffee, cafeteria",17,2023-04-05
52,"recipe, vsx5z7oe8k, vhzzxwxk4b, hrhmguvyeq, 9vxszlmbn8",13,2023-04-05
53,"out, get, p047zvadb8, rhrcrdabuq, surbc2zy1r",7,2023-04-05
54,"hooker, hookers, am, her, omi360pjje",7,2023-04-05
55,"tea, thecloudxbecky, teapot, terrace, tried",23,2023-04-05
56,"pancakes, dulce, de, leche, etrghre4aw",13,2023-04-05
57,"paddling, paddle, dulce, de, leche",8,2023-04-05
58,"kitten, cat, kittens, appeared, cats",10,2023-04-05
59,"tank, tanks, water, hot, ubxpjzs6gc",12,2023-04-05
60,"as, really, say, cow, bad",5,2023-04-05
61,"faceplanting, hanquokka, sabaw, bbokari, skzoo",1,2023-04-05
62,"birthday, lots, your, on, gifts",10,2023-04-05
63,"white, hippopotamus, whiter, ariel, color",11,2023-04-05
64,"morning, wednesday, thursday, holy, good",8,2023-04-05
65,"teeth, baby, tooth, deformity, safvmszn1k",10,2023-04-05
66,"tits, them, those, bmnuhy6t4y, boxrzu9elx",13,2023-04-05
67,"smoothie, fruit, papaya, banana, tayuyos",8,2023-04-05
68,"strawberry, strawberries, fresh, juice, xqq9ynqh96",10,2023-04-05
69,"dulce, de, spoons, leche, jar",8,2023-04-05
