topic,word,weight
-1,the,0.04718106474666612
-1,and,0.03373987981319634
-1,to,0.03150454261631223
-1,in,0.03130936052474524
-1,they,0.027759039233828744
-1,dairy,0.027245866317555864
-1,that,0.02481214346326724
-1,of,0.024556346709665628
-1,farm,0.02430632844219792
-1,it,0.02428915932960015
0,dairy,0.06304570707157618
0,co,0.056615263753093045
0,https,0.0565481216420757
0,farm,0.0545563780188651
0,the,0.0527143855625903
0,plant,0.04190010269091587
0,to,0.03218146339783393
0,of,0.027837094681012926
0,it,0.026754769725369266
0,and,0.025964226810492253
1,asturiana,0.06567252134419889
1,lechera,0.06198364207573367
1,central,0.058574494395649546
1,of,0.04377607631288323
1,edp,0.04088762385883148
1,self,0.04088762385883148
1,the,0.037503100782639756
1,consumption,0.03708203085727678
1,co,0.03495302106707726
1,https,0.034911569001586366
2,valverde,0.09386483165639496
2,baena,0.08232889042284601
2,the,0.05570032132452723
2,is,0.04697170785217989
2,dairy,0.03666754399772493
2,farm,0.03554615729354154
2,of,0.032986918602266956
2,already,0.03259959999760553
2,it,0.032466031457575595
2,that,0.02801877162747567
3,women,0.07920292676005279
3,race,0.05959044049209543
3,in,0.04533774081670945
3,the,0.04459662636037854
3,of,0.03788698701613778
3,will,0.03726209004054076
3,sunday,0.03600403429639091
3,central,0.034782135078979315
3,asturiana,0.03470547855510784
3,on,0.03348181721876839
4,vinicius,0.0909887230659258
4,is,0.04363201639031384
4,the,0.042432995682503555
4,to,0.03959107038464687
4,him,0.03561728011287117
4,that,0.03347275804722721
4,and,0.033246709762932
4,he,0.03216832231998681
4,they,0.031326909953600365
4,dairy,0.02583375030564044
5,lechera,0.06542802071739622
5,central,0.06182942957993656
5,the,0.055863352439042106
5,league,0.04114382299708036
5,madrid,0.03910822146793568
5,and,0.037971572151418415
5,to,0.03522210152753806
5,it,0.03278032373940592
5,copadelrey,0.0288011053467507
5,team,0.02621955923702691
6,barça,0.07976826447567331
6,negreira,0.05120650805964232
6,the,0.04767748797432777
6,that,0.044936399571178266
6,and,0.04090915311785782
6,dairy,0.03920484524405434
6,farm,0.03895010642212244
6,they,0.03848570722033886
6,to,0.03162248016263582
6,was,0.027558345231806124
7,the,0.05185225964859964
7,madrid,0.051267021044658675
7,of,0.04123173390670357
7,to,0.040604816552390656
7,milk,0.040593923797149684
7,that,0.03490391985896802
7,and,0.03349698345274084
7,is,0.03044321201336441
7,league,0.027496526289255335
7,disgust,0.026888605726875927
8,central,0.12477886529470937
8,lechera,0.12103779789774391
8,co,0.07859561163670936
8,https,0.0785024022275825
8,d0f6tkc9md,0.0678112480354332
8,bastards,0.06315335350836852
8,and,0.0429133479391938
8,to,0.041464635371755904
8,them,0.04048672777931595
8,fuck,0.03789267001307335
9,de,0.1421947284699452
9,en,0.09107606140298563
9,el,0.08545877873255413
9,la,0.07999859642827768
9,que,0.07756007324301024
9,con,0.0711167208503836
9,para,0.06794029329733035
9,centrallecheraasturiana,0.056614848980234306
9,leche,0.05344901049698252
9,un,0.04951489065641205
10,women,0.07726781800254065
10,race,0.07424320999362838
10,32,0.0627833334423567
10,000,0.06145232337641864
10,madrid,0.05757473120044269
10,pink,0.05725152725590241
10,the,0.05309030770128874
10,cancer,0.05136818190738275
10,tide,0.04748815602686878
10,breast,0.04733261159916417
11,de,0.09734501729700094
11,la,0.08568861020614103
11,centrallecheraasturiana,0.08416007841676632
11,asturias,0.0708702749389592
11,00,0.052958458678149065
11,ovejas,0.052713321474188134
11,las,0.05144915106538746
11,asturiasparaisonatural,0.04171487373236779
11,granja,0.04171487373236779
11,gijón,0.039534991105641105
12,gavi,0.13365414329441952
12,what,0.0821958133594086
12,he,0.07766512783898913
12,is,0.07022822218534197
12,farm,0.061966078398831156
12,doing,0.060515876051369835
12,dairy,0.057851682046562394
12,vomiting,0.0548496575018539
12,arbitral,0.0548496575018539
12,itu,0.0548496575018539
13,capsa,0.07528584759480385
13,of,0.061433022182748466
13,with,0.059965280396729825
13,iberlatte,0.059337570194732944
13,and,0.052177244043678496
13,celta,0.05086077445262823
13,the,0.0478993542969605
13,agreement,0.040481189168108736
13,company,0.04011204007700656
13,asturiana,0.03832297772041734
14,pep,0.05827758221171144
14,they,0.05334965038863473
14,farm,0.04589439830415423
14,you,0.045473363705172465
14,the,0.04377487577505284
14,dairy,0.04325911384109235
14,valencia,0.04317609418573884
14,to,0.040126533592826724
14,came,0.035155134066178276
14,how,0.034982307120076286
15,fund,0.1566058785316779
15,venture,0.15416494762687102
15,hotels,0.14699456498166355
15,capital,0.14590113400899932
15,ac,0.13717340535936512
15,founder,0.13717340535936512
15,carlos,0.13474501789985824
15,díez,0.12712295404106078
15,josé,0.12249547081805294
15,launch,0.1168198576396533
